feature,importance
tenure,1.7018243156252182
ExpectedTenure,1.0583151888824427
MonthlyCharges,0.9280929562510876
Contract,0.6540728771856686
TotalCharges,0.39250795249792364
CLV,0.35595163546806663
services_count,0.2717699390465589
monthly_to_total_ratio,0.25119995374057197
OnlineSecurity,0.20062386376029734
PaperlessBilling,0.1455822643576694
TechSupport,0.14289177691385677
MultipleLines,0.12852041498623584
Dependents,0.11104288593761916
PhoneService,0.09324825676368126
StreamingMovies,0.09141084935424439
OnlineBackup,0.08049720346588232
InternetService,0.07870044630308738
tenure_bucket,0.06709446227497379
SeniorCitizen,0.06690792314583449
internet_no_techsupport,0.05268455678635274
PaymentMethod,0.04257742733694099
gender,0.028534818629977032
StreamingTV,0.026631829352308078
Partner,0.015010686064746941
DeviceProtection,0.006495214068013787
